Unnamed: 0, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai,cluster
1432,1998.0,1.0,Hồ Chí Minh,CNTT0001,KTTT,0,11.0,D480201,0.0,23.5,0.7556701030927836,0.7409700722394221,0.7552301255230125,8.13,7.52,9.05,8.96,8.05,8.9,0.0,0.5,0.3333333333333333,0.0,15,15,24,24,20,16,17,141.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,4,4,4,4,4,4,73,90,100,85,91,85,100,1,8
318,1994.0,0.0,Quảng Nam,HTTT0001,HTTT,0,8.0,D52480104,0.0,25.5,0.6793814432989691,0.7564499484004129,0.7510460251046025,7.56,7.52,7.71,7.4,8.29,6.4,0.0,0.5833333333333333,0.3333333333333333,0.0,22,18,17,18,29,23,12,156.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,4,4,4,4,100,98,77,100,77,83,81,1,8
150,1995.0,1.0,Hồ Chí Minh,HTTT0001,HTTT,0,8.0,D480104,0.0,24.5,0.45257731958762887,0.6171310629514964,0.6202928870292886,5.46,6.68,6.96,7.17,6.55,8.5,7.6,0.8333333333333333,0.3333333333333333,0.2727272727272727,22,21,30,20,23,18,25,153.0,15.0,8.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,80,66,71,86,84,58,74,0,9
2,1995.0,1.0,Quảng Ngãi,HTTT0001,HTTT,0,8.0,D52480104,0.0,26.0,0.4309278350515464,0.5882352941176471,0.5543933054393305,4.38,5.66,5.06,6.31,2.45,5.81,7.59,0.8333333333333333,0.5833333333333333,0.6363636363636364,22,20,25,17,28,26,20,154.0,10.0,7.0,8.0,11.0,4.0,7.0,0.0,10.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,97,72,81,61,90,58,56,0,9
360,1995.0,1.0,Đắk Lắk,CNTT2013,KTTT,0,8.0,D480201,0.0,24.0,0.5360824742268042,0.5015479876160991,0.559623430962343,5.63,6.56,6.01,5.1,6.73,7.8,7.1,0.9166666666666666,0.25,0.36363636363636365,22,22,24,19,19,18,20,139.0,11.0,12.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,3,3,4,4,4,4,69,82,83,77,80,75,74,0,9
362,1995.0,1.0,Hồ Chí Minh,KHMT0001,KHMT,0,8.0,D480101,0.0,25.5,0.42886597938144333,0.5294117647058824,0.5941422594142259,6.36,5.45,3.98,5.92,4.9,4.2,5.3,0.8333333333333333,0.3333333333333333,0.36363636363636365,22,16,22,25,16,19,20,142.0,18.0,8.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,2,3,3,4,4,4,4,4,4,4,61,69,62,67,81,72,69,0,9
55,1995.0,1.0,Hồ Chí Minh,KHMT2013,KHMT,0,8.0,D480101,0.0,28.0,0.5103092783505155,0.6924664602683179,0.5732217573221757,6.47,6.62,8.38,7.98,7.67,6.1,6.8,0.75,0.3333333333333333,0.36363636363636365,22,19,26,22,24,14,16,143.0,14.0,0.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,3,3,3,3,3,3,87,90,75,75,69,77,64,0,9
549,1995.0,1.0,Hồ Chí Minh,CNTT0001,KTTT,0,9.0,D480201,-1.0,-1.0,0.7855670103092784,0.6439628482972137,0.6694560669456067,6.36,6.84,6.25,6.63,0.0,0.0,7.4,0.0,0.0,0.36363636363636365,17,19,25,16,21,18,23,142.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,3,3,3,3,3,3,99,65,78,66,58,61,60,0,10
1333,1998.0,1.0,Hồ Chí Minh,KHMT0001,KHMT,0,11.0,D480101,0.0,23.25,0.8329896907216495,0.5356037151702787,0.7144351464435146,4.01,6.92,7.5,5.93,0.0,0.0,6.3,0.0,0.0,0.36363636363636365,19,21,23,19,20,23,24,143.0,0.0,11.0,0.0,12.0,4.0,4.0,8.0,0.0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,98,92,100,85,76,85,75,1,10
1600,1998.0,1.0,Quảng Nam,KHMT0001,KHMT,0,11.0,D480101,0.0,21.0,0.8041237113402062,0.5077399380804953,0.805439330543933,6.33,6.72,7.41,7.43,0.0,0.0,5.7,0.0,0.0,0.36363636363636365,13,15,23,24,22,19,23,144.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,2,2,3,3,3,4,67,71,85,80,80,75,74,0,10
393,1995.0,1.0,Nghệ An,MMTT0001,MMT&TT,0,8.0,D480299,0.0,29.5,0.7329896907216495,0.6243550051599588,0.7688284518828451,7.81,7.3,8.4,7.18,0.0,0.0,8.8,0.0,0.0,0.2727272727272727,18,21,22,19,22,14,19,150.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,3,3,3,4,98,80,83,90,75,82,70,1,10
